Name,Basin,Time,NATURE,LAT,LON,WindSpeed Knots,Press mb,lat_actual,lon_actual,status
05s,SI,2021-01-05 03:00:00,TS,-9.7,100.8,15.002403846730846,1004.5919146991944,-9.6,100.5,train
05s,SI,2021-01-05 06:00:00,TS,-9.6,100.5,15.0,1004.0,-9.4,100.1,train
05s,SI,2021-01-05 09:00:00,TS,-9.4,100.1,14.997596153269155,1003.908085300806,-9.3,99.8,train
05s,SI,2021-01-05 12:00:00,TS,-9.3,99.8,15.0,1004.0000000000002,-9.4,99.9,train
05s,SI,2021-01-05 15:00:00,TS,-9.4,99.9,15.007211540192534,1004.0257440975828,-9.6,100.1,train
05s,SI,2021-01-05 18:00:00,TS,-9.6,100.1,14.999999999999998,1004.0,-9.8,100.2,train
05s,SI,2021-01-05 21:00:00,TS,-9.8,100.2,14.973557685960708,1003.9889383088624,-9.9,100.3,train
05s,SI,2021-01-06 00:00:00,TS,-9.9,100.3,15.0,1004.0,-10.0,100.5,train
05s,SI,2021-01-06 03:00:00,TS,-10.0,100.5,15.098557715964636,1004.0185026669678,-10.1,100.7,train
05s,SI,2021-01-06 06:00:00,TS,-10.1,100.7,14.999999999999998,1004.0,-10.2,100.8,train
05s,SI,2021-01-06 09:00:00,TS,-10.2,100.8,14.63221145018075,1003.9370510232663,-10.3,100.8,train
05s,SI,2021-01-06 12:00:00,TS,-10.3,100.8,15.0,1004.0,-10.3,100.9,train
05s,SI,2021-01-06 15:00:00,TS,-10.3,100.9,16.997596483312364,1004.2332932399668,-10.4,101.0,train
05s,SI,2021-01-06 18:00:00,TS,-10.4,101.0,20.0,1004.0,-10.5,101.1,train
05s,SI,2021-01-06 21:00:00,TS,-10.5,101.1,23.0024026165698,1002.8797760168662,-10.5,101.2,train
05s,SI,2021-01-07 00:00:00,TS,-10.5,101.2,25.0,1002.0,-10.3,101.4,train
05s,SI,2021-01-07 03:00:00,TS,-10.3,101.4,25.36779305040847,1002.3726026925684,-10.3,101.5,train
05s,SI,2021-01-07 06:00:00,TS,-10.3,101.5,25.0,1003.0,-10.7,101.6,train
05s,SI,2021-01-07 09:00:00,TS,-10.7,101.6,24.90142518179634,1002.7548132128604,-11.3,101.6,train
05s,SI,2021-01-07 12:00:00,TS,-11.3,101.6,25.0,1002.0,-11.6,101.7,train
05s,SI,2021-01-07 15:00:00,TS,-11.6,101.7,25.02650622240617,1001.3581444559904,-11.9,101.8,train
05s,SI,2021-01-07 18:00:00,TS,-11.9,101.8,25.0,1001.0,-12.1,101.9,train
05s,SI,2021-01-07 21:00:00,TS,-12.1,101.9,24.992549928578995,1000.9376089631774,-12.2,102.0,train
05s,SI,2021-01-08 00:00:00,TS,-12.2,102.0,25.0,1001.0,-12.3,102.0,train
05s,SI,2021-01-08 03:00:00,TS,-12.3,102.0,25.00329406327785,1001.0164196912992,-12.5,102.1,train
05s,SI,2021-01-08 06:00:00,TS,-12.5,102.1,25.0,1001.0,-12.8,102.3,train
05s,SI,2021-01-08 09:00:00,TS,-12.8,102.3,24.99427381830961,1000.9967122716248,-13.1,102.5,train
05s,SI,2021-01-08 12:00:00,TS,-13.1,102.5,25.0,1001.0,-13.4,102.6,train
05s,SI,2021-01-08 15:00:00,TS,-13.4,102.6,25.019610663483725,1000.9967312222008,-13.7,102.5,train
05s,SI,2021-01-08 18:00:00,TS,-13.7,102.5,25.0,1001.0,-13.9,102.0,train
05s,SI,2021-01-08 21:00:00,TS,-13.9,102.0,24.9272835277555,1001.0163628395716,-14.1,101.3,train
05s,SI,2021-01-09 00:00:00,TS,-14.1,101.3,25.0,1001.0,-14.5,100.8,train
05s,SI,2021-01-09 03:00:00,TS,-14.5,100.8,25.27125522549428,1000.9378174195132,-14.9,100.3,train
05s,SI,2021-01-09 06:00:00,TS,-14.9,100.3,25.0,1001.0,-15.2,99.7,train
05s,SI,2021-01-09 09:00:00,TS,-15.2,99.7,23.987695570267395,1001.2323674823756,-15.4,99.2,train
05s,SI,2021-01-09 12:00:00,TS,-15.4,99.2,25.000000000000004,1001.0,-15.6,98.6,train
05s,SI,2021-01-09 15:00:00,TS,-15.6,98.6,30.02796249343616,999.8827126509846,-15.8,98.1,train
05s,SI,2021-01-09 18:00:00,TS,-15.8,98.1,35.00000000000001,999.0,-16.3,97.6,train
